LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
24h         Normal    SuccessfulDelete               replicaset/api-gateway-6fb497d6b               Deleted pod: api-gateway-6fb497d6b-qlzbx
24h         Normal    Killing                        pod/api-gateway-6fb497d6b-qlzbx                Stopping container api-gateway
24h         Normal    SuccessfulDelete               replicaset/delivery-service-758cc65b8f         Deleted pod: delivery-service-758cc65b8f-fcmj5
24h         Normal    SuccessfulDelete               replicaset/delivery-service-758cc65b8f         Deleted pod: delivery-service-758cc65b8f-k722v
24h         Normal    SuccessfulDelete               replicaset/delivery-service-84ddfd8dc7         Deleted pod: delivery-service-84ddfd8dc7-xvj6q
24h         Normal    SuccessfulCreate               replicaset/delivery-service-69c9fd7578         Created pod: delivery-service-69c9fd7578-9nzzt
24h         Normal    ScalingReplicaSet              deployment/delivery-service                    Scaled up replica set delivery-service-69c9fd7578 from 0 to 1
24h         Normal    ScalingReplicaSet              deployment/delivery-service                    Scaled down replica set delivery-service-84ddfd8dc7 from 1 to 0
24h         Normal    Created                        pod/api-gateway-6fb497d6b-mh297                Created container: api-gateway
24h         Normal    SuccessfulCreate               replicaset/api-gateway-6fb497d6b               Created pod: api-gateway-6fb497d6b-mh297
24h         Normal    SuccessfulRescale              horizontalpodautoscaler/delivery-service-hpa   New size: 2; reason: Current number of replicas below Spec.MinReplicas
24h         Normal    ScalingReplicaSet              deployment/delivery-service                    Scaled up replica set delivery-service-69c9fd7578 from 1 to 2
24h         Normal    SuccessfulCreate               replicaset/delivery-service-69c9fd7578         Created pod: delivery-service-69c9fd7578-4qztf
24h         Normal    Pulled                         pod/api-gateway-6fb497d6b-mh297                Container image "im/api-gateway:latest" already present on machine
24h         Normal    ScalingReplicaSet              deployment/api-gateway                         Scaled up replica set api-gateway-6fb497d6b from 1 to 2
24h         Normal    SuccessfulRescale              horizontalpodautoscaler/api-gateway-hpa        New size: 2; reason: Current number of replicas below Spec.MinReplicas
24h         Normal    Started                        pod/api-gateway-6fb497d6b-mh297                Started container api-gateway
24h         Warning   FailedGetResourceMetric        horizontalpodautoscaler/delivery-service-hpa   failed to get memory utilization: unable to get metrics for resource memory: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
24h         Warning   FailedGetResourceMetric        horizontalpodautoscaler/api-gateway-hpa        failed to get memory utilization: unable to get metrics for resource memory: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
24h         Warning   BackOff                        pod/delivery-service-69c9fd7578-4qztf          Back-off restarting failed container delivery-service in pod delivery-service-69c9fd7578-4qztf_im(65f96226-10e9-4631-b6b2-47ba8ff3190c)
24h         Normal    Started                        pod/delivery-service-69c9fd7578-4qztf          Started container delivery-service
24h         Normal    Created                        pod/delivery-service-69c9fd7578-4qztf          Created container: delivery-service
24h         Normal    Pulled                         pod/delivery-service-69c9fd7578-4qztf          Container image "im/delivery-service:latest" already present on machine
24h         Warning   BackOff                        pod/delivery-service-69c9fd7578-9nzzt          Back-off restarting failed container delivery-service in pod delivery-service-69c9fd7578-9nzzt_im(9a6d80d6-75e3-4c33-be6b-9897121cbf3b)
24h         Warning   BackOff                        pod/delivery-service-69c54d7cfc-lpczk          Back-off restarting failed container delivery-service in pod delivery-service-69c54d7cfc-lpczk_im(d3097dad-3235-4cb0-9163-1b0adfd46e81)
24h         Normal    Created                        pod/delivery-service-69c9fd7578-9nzzt          Created container: delivery-service
24h         Normal    Started                        pod/delivery-service-69c9fd7578-9nzzt          Started container delivery-service
24h         Normal    Pulled                         pod/delivery-service-69c9fd7578-9nzzt          Container image "im/delivery-service:latest" already present on machine
24h         Normal    Started                        pod/delivery-service-69c54d7cfc-lpczk          Started container delivery-service
24h         Normal    Pulled                         pod/delivery-service-69c54d7cfc-lpczk          Container image "im/delivery-service:latest" already present on machine
24h         Normal    Created                        pod/delivery-service-69c54d7cfc-lpczk          Created container: delivery-service
24h         Normal    Started                        pod/delivery-service-5c9dfd4b97-zmh2k          Started container delivery-service
24h         Normal    Killing                        pod/delivery-service-69c54d7cfc-lpczk          Stopping container delivery-service
24h         Normal    SuccessfulDelete               replicaset/delivery-service-69c54d7cfc         Deleted pod: delivery-service-69c54d7cfc-lpczk
24h         Normal    SuccessfulCreate               replicaset/delivery-service-5c9dfd4b97         Created pod: delivery-service-5c9dfd4b97-zmh2k
24h         Normal    Created                        pod/delivery-service-5c9dfd4b97-zmh2k          Created container: delivery-service
24h         Normal    Pulled                         pod/delivery-service-5c9dfd4b97-zmh2k          Container image "im/delivery-service:latest" already present on machine
24h         Normal    Killing                        pod/delivery-service-69c9fd7578-9nzzt          Stopping container delivery-service
24h         Normal    SuccessfulCreate               replicaset/delivery-service-5c9dfd4b97         Created pod: delivery-service-5c9dfd4b97-rl259
24h         Normal    SuccessfulDelete               replicaset/delivery-service-69c9fd7578         Deleted pod: delivery-service-69c9fd7578-9nzzt
24h         Normal    Started                        pod/delivery-service-5c9dfd4b97-rl259          Started container delivery-service
24h         Normal    Created                        pod/delivery-service-5c9dfd4b97-rl259          Created container: delivery-service
24h         Normal    Pulled                         pod/delivery-service-5c9dfd4b97-rl259          Container image "im/delivery-service:latest" already present on machine
