LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
2m46s       Normal    SuccessfulCreate               replicaset/delivery-service-7d749bd896         Created pod: delivery-service-7d749bd896-72tfh
2m46s       Normal    SuccessfulCreate               replicaset/delivery-service-7d749bd896         Created pod: delivery-service-7d749bd896-8zb5n
2m46s       Normal    Scheduled                      pod/delivery-service-7d749bd896-8zb5n          Successfully assigned im/delivery-service-7d749bd896-8zb5n to docker-desktop
2m46s       Normal    Pulled                         pod/delivery-service-7d749bd896-5m8wb          Container image "im/delivery-service:latest" already present on machine
2m46s       Normal    Created                        pod/delivery-service-7d749bd896-5m8wb          Created container: delivery-service
2m46s       Normal    Created                        pod/delivery-service-7d749bd896-72tfh          Created container: delivery-service
2m46s       Normal    Scheduled                      pod/delivery-service-7d749bd896-72tfh          Successfully assigned im/delivery-service-7d749bd896-72tfh to docker-desktop
2m46s       Normal    Created                        pod/delivery-service-7d749bd896-zd6p4          Created container: delivery-service
2m45s       Normal    Started                        pod/delivery-service-7d749bd896-5m8wb          Started container delivery-service
2m45s       Normal    Started                        pod/delivery-service-7d749bd896-72tfh          Started container delivery-service
2m45s       Normal    Started                        pod/delivery-service-7d749bd896-8zb5n          Started container delivery-service
2m45s       Normal    Started                        pod/delivery-service-7d749bd896-zd6p4          Started container delivery-service
2s          Warning   FailedGetResourceMetric        horizontalpodautoscaler/delivery-service-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
2s          Warning   FailedGetResourceMetric        horizontalpodautoscaler/api-gateway-hpa        failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
